CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Rating,Year,Contract_Type
H1651,1876 Cost,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",5,2015,PART C
H2461,1876 Cost,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,Blue Cross and Blue Shield of Minnesota,Blue Cross and Blue Shield of Minnesota,4,2015,PART C
H5256,1876 Cost,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,Medical Associates Clinic Health Plan of Wisconsin,"Medical Associates Clinic, P.C.",4.5,2015,PART C
H5264,1876 Cost,"DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.",Dean Health Systems Inc.,5,2015,PART C
H8468,MSA,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Gold,Geisinger Health System,3.5,2015,PART C
H0657,1876 Cost,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Colorado Choice Health Plans,2.5,2016,PART C
H1651,1876 Cost,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",5,2016,PART C
H2461,1876 Cost,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,Blue Cross and Blue Shield of Minnesota,Blue Cross and Blue Shield of Minnesota,4.5,2016,PART C
H5256,1876 Cost,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,Medical Associates Clinic Health Plan of Wisconsin,"Medical Associates Clinic, P.C.",5,2016,PART C
H5264,1876 Cost,"DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.",Dean Health Systems Inc.,5,2016,PART C
H0141,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource Management Group Co.,2,2013,PART D
H0901,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,2013,PART D
H1291,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,4,2013,PART D
H1419,Local CCP,"AETNA HEALTH,  INC. (PA)",Aetna Medicare,Aetna Inc.,3,2013,PART D
H1595,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus of Michigan,3.5,2013,PART D
H1659,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,4,2013,PART D
H1777,Local CCP,"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage,HMO SNP",Catholic Health Care System,3,2013,PART D
H1846,Local CCP,MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,2.5,2013,PART D
H2241,Local CCP,GOLDEN STATE MEDICARE HEALTH PLAN,"Golden State Medicare Health Plan, Golden (HMO)",Golden State Medicare Health Plan,3.5,2013,PART D
H2323,Local CCP,FIDELIS SECURECARE OF MICHIGAN,Fidelis SecureCare Of Michigan,"Fidelis SeniorCare, Inc.",3.5,2013,PART D
H2457,Local CCP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan MSHO,Metropolitan Health Plan,4,2013,PART D
H2906,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,4,2013,PART D
H3113,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,PART D
H3132,Local CCP,"AIDS HEALTHCARE FOUNDATION MCO OF FLORIDA, INC.",Positive Healthcare Partners,AIDS Healthcare Foundation,4.5,2013,PART D
H4754,Local CCP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,4,2013,PART D
H4785,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,3,2013,PART D
H4866,Local CCP,CUATRO LLC,Access Medicare,Cuatro LLC.,3,2013,PART D
H4910,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3.5,2013,PART D
H5016,Local CCP,PROVIDENCE HEALTH PLANS,Providence Health Plans,Providence Health & Services,3.5,2013,PART D
H5209,Local CCP,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",4,2013,PART D
H5440,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,2013,PART D
H5685,Local CCP,"MIDWEST HEALTH PLAN, INC.",Midwest Advantage,Henry Ford Health System,2,2013,PART D
H5852,Local CCP,AIDS HEALTHCARE FOUNDATION,Positive Healthcare Partners,AIDS Healthcare Foundation,3.5,2013,PART D
H5943,Local CCP,SCAN HEALTH PLAN,VillageHealth,SCAN Health Plan,2,2013,PART D
H5989,Local CCP,"CENTERLIGHT HEALTHCARE, INC.","CenterLight Healthcare, Inc.","CenterLight Health System, Inc.",4,2013,PART D
H5992,Local CCP,"SENIOR WHOLE HEALTH OF NEW YORK, INC.",Senior Whole Health of New York,"SWH Holdings, Inc.",4,2013,PART D
H6178,Local CCP,CARESOURCE,CareSource,CareSource Management Group Co.,2,2013,PART D
H6528,Local CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,"UnitedHealth Group, Inc.",2.5,2013,PART D
H6705,Local CCP,"UNIVERSAL HEALTH CARE OF NEVADA, INC.","Universal Health Care of Nevada, Inc.","Universal Health Care Group, Inc.",2.5,2013,PART D
H6864,Local CCP,"GUILDNET, INC.",GuildNet,Jewish Guild for the Blind,3,2013,PART D
H6923,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,2013,PART D
H7086,Local CCP,COMMUNITY HEALTH GROUP,Community Health Group,Community Health Group,3.5,2013,PART D
H7526,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,3,2013,PART D
H7678,Local CCP,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,",2.5,2013,PART D
H7908,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,2013,PART D
H8050,Local CCP,"CARILION CLINIC MEDICARE RESOURCES, LLC",Carilion Clinic Medicare Health Plan,"Carilion Services, Inc.",3.5,2013,PART D
H8130,Local CCP,"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",2.5,2013,PART D
H8604,Local CCP,THP INSURANCE COMPANY,Health Plan SecureChoice,Health Plan of the Upper Ohio Valley,3.5,2013,PART D
H9082,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",2.5,2013,PART D
E0654,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,3.5,2013,PART D
E2332,Employer/Union Only Direct Contract PDP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,4,2013,PART D
E2630,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,4,2013,PART D
E3014,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,4.5,2013,PART D
E4744,Employer/Union Only Direct Contract PDP,MO DOT AND MSHP MEDICAL AND LIFE INS PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri  DOT/State Highway Patrol Med & Life Ins,4,2013,PART D
E6322,Employer/Union Only Direct Contract PDP,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Kentucky Retirement Systems,3.5,2013,PART D
E7316,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,3,2013,PART D
E7848,Employer/Union Only Direct Contract PDP,OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD,HealthChoice,State of Oklahoma,3,2013,PART D
S0043,PDP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.",Aveta Inc.,2.5,2013,PART D
S0197,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,3.5,2013,PART D
S0655,PDP,TUFTS INSURANCE COMPANY,Tufts Health Plan Medicare Preferred,"TAHMO, Inc.",4,2013,PART D
S1030,PDP,"BCBS ALABAMA, BCBS TENNESSEE",BlueRx,BCBS OF AL & BCBS OF TN,3,2013,PART D
S2321,PDP,QCC INS CO D/B/A AMERIHEALTH INS CO,AmeriHealth Rx,Independence Blue Cross,3.5,2013,PART D
S2468,PDP,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,Blue Shield of California,California Physicians' Service,4,2013,PART D
S2505,PDP,"WINDSOR HEALTH PLAN, INC",Windsor Rx,Munich American Holding Corporation,2.5,2013,PART D
S2874,PDP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,3,2013,PART D
S2893,PDP,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Blue MedicareRx,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,4,2013,PART D
S3389,PDP,"UPMC HEALTH BENEFITS, INC",UPMC Health Plan,University of Pittsburgh Medical Center,4,2013,PART D
S3440,PDP,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare Rx,Health Alliance Plan (HAP),3,2013,PART D
S3521,PDP,"EXCELLUS HEALTH PLAN, INC","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",5,2013,PART D
S3994,PDP,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's Medicare Rx Plan,Hawaii Medical Service Association,5,2013,PART D
S4219,PDP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medicare Prescription Plan,Health Alliance Medical Plans,3,2013,PART D
S4802,PDP,STERLING LIFE INSURANCE COMPANY,Windsor Rx,Munich American Holding Corporation,3,2013,PART D
S5540,PDP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,2013,PART D
S5552,PDP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,3.5,2013,PART D
S5569,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,3,2013,PART D
S5580,PDP,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,First United American Life Insurance Company,Torchmark Corporation,3.5,2013,PART D
S5584,PDP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,4,2013,PART D
S5593,PDP,HIGHMARK HEALTH INSURANCE COMPANY,Highmark Health Insurance Company,Highmark Inc.,4,2013,PART D
S5596,PDP,"ANTHEM INSURANCE COMPANIES, INC.",Blue MedicareRx,"WellPoint, Inc.",3,2013,PART D
S5601,PDP,SILVERSCRIPT INSURANCE COMPANY,SilverScript,CVS Caremark Corporation,3,2013,PART D
S5609,PDP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,"Cambia Health Solutions, Inc.",3.5,2013,PART D
S5617,PDP,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,Cigna Medicare Rx,CIGNA,3,2013,PART D
S5660,PDP,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,Express Scripts Medicare,"Express Scripts, Inc.",4,2013,PART D
S5670,PDP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,3.5,2013,PART D
S5674,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,3.5,2013,PART D
