CONTRACT_ID,Breast.Cancer.Screening,Colorectal.Cancer.Screening,Cardiovascular.Care...Cholesterol.Screening,Diabetes.Care...Cholesterol.Screening,Glaucoma.Testing,Annual.Flu.Vaccine,Improving.or.Maintaining.Physical.Health,Improving.or.Maintaining.Mental.Health,Monitoring.Physical.Activity,Adult.BMI.Assessment,Care.for.Older.Adults...Medication.Review,Care.for.Older.Adults...Functional.Status.Assessment,Care.for.Older.Adults...Pain.Screening,Osteoporosis.Management.in.Women.who.had.a.Fracture,Diabetes.Care...Eye.Exam,Diabetes.Care...Kidney.Disease.Monitoring,Diabetes.Care...Blood.Sugar.Controlled,Diabetes.Care...Cholesterol.Controlled,Controlling.Blood.Pressure,Rheumatoid.Arthritis.Management,Improving.Bladder.Control,Reducing.the.Risk.of.Falling,Plan.All.Cause.Readmissions,Getting.Needed.Care,Getting.Appointments.and.Care.Quickly,Customer.Service,Overall.Rating.of.Health.Care.Quality,Overall.Rating.of.Plan,Care.Coordination,Complaints.about.the.Health.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Plan.Makes.Timely.Decisions.about.Appeals,Reviewing.Appeals.Decisions,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Enrollment.Timeliness,Call.Center...Pharmacy.Hold.Time,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Appeals.Auto.Forward,Appeals.Upheld,Enrollment.Timeliness,Complaints.about.the.Drug.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Drug.Plan.Quality.Improvement,Getting.Information.From.Drug.Plan,Rating.of.Drug.Plan,Getting.Needed.Prescription.Drugs,MPF.Price.Accuracy,High.Risk.Medication,Diabetes.Treatment,Part.D.Medication.Adherence.for.Oral.Diabetes.Medications,Part.D.Medication.Adherence.for.Hypertension..RAS.antagonists.,Part.D.Medication.Adherence.for.Cholesterol..Statins., Special Needs Plan (SNP) Care Management,Contract_Type,Year
H0084,2,1,3,2,2,2,0,0,1,4,0,0,0,0,1,3,2,2,2,0,2,3,1,4,3,3,4,1,3,1,5,1,0,0,0,5,4,5,5,1,0,4,1,5,1,4,0,1,2,4,2,1,2,1,1,0,MA PD,2013
H0104,3,3,5,4,3,3,5,2,1,2,0,0,0,1,2,3,2,2,2,4,3,3,4,4,2,4,4,4,4,4,4,3,5,3,1,3,4,3,1,4,4,4,4,4,3,5,4,2,4,4,3,2,3,3,2,0,MA PD,2013
H0108,3,2,5,4,1,2,0,0,2,2,0,0,0,0,1,4,2,4,2,4,1,4,5,2,1,2,1,1,2,1,4,2,0,5,0,5,5,5,5,3,0,5,1,4,2,4,3,4,1,3,3,5,3,3,3,0,MA PD,2013
H0117,2,2,4,4,3,3,5,1,2,3,3,2,4,0,3,5,2,2,2,3,1,4,2,2,4,1,3,1,4,1,4,1,2,4,5,3,5,4,3,5,0,5,1,4,1,2,4,4,4,4,4,4,1,1,1,0,MA PD,2013
H0141,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,2,0,0,0,0,4,0,0,0,0,0,4,1,1,2,2,3,0,PART D ,2013
H0150,4,5,5,4,3,2,5,2,1,4,4,5,5,2,3,5,3,2,3,4,1,4,3,5,2,4,4,5,4,3,4,4,4,4,5,5,4,3,5,4,0,4,3,4,4,5,4,5,4,4,1,2,1,1,1,0,MA PD,2013
H0151,2,3,4,3,2,2,4,2,1,2,2,2,2,1,3,4,2,2,3,3,2,3,3,3,3,3,4,4,3,3,1,4,1,3,3,5,5,5,5,4,0,5,3,1,4,5,0,4,4,4,1,1,1,1,1,0,MA PD,2013
H0154,4,4,4,4,3,3,5,2,2,4,4,4,5,1,4,4,4,4,5,4,2,4,3,4,2,4,4,4,4,4,4,5,2,3,3,5,5,3,5,2,3,5,4,4,5,1,0,4,4,4,1,2,2,2,2,0,MA PD,2013
H0248,3,3,5,4,4,3,0,0,3,3,0,0,0,1,4,4,2,2,3,3,3,3,3,2,3,2,4,4,3,2,4,2,2,5,0,5,4,5,5,3,0,4,2,4,2,3,3,4,2,4,5,5,3,2,2,0,MA PD,2013
H0251,2,2,3,3,1,1,5,1,1,3,2,1,1,1,1,4,3,2,2,2,1,4,3,3,2,3,4,5,3,3,1,3,3,1,1,5,0,4,5,3,3,0,3,1,3,2,0,5,4,4,1,3,1,1,2,0,MA PD,2013
H0302,4,4,5,5,4,4,4,2,2,5,0,0,0,3,3,5,4,2,4,4,3,4,3,3,4,3,4,4,3,5,4,5,2,5,5,3,5,5,1,1,0,5,5,4,5,4,4,4,4,4,5,3,5,5,4,0,MA PD,2013
H0303,3,4,5,4,3,3,4,2,2,4,2,2,2,1,3,5,4,4,4,3,2,3,3,3,2,2,2,2,2,3,1,4,1,4,3,5,5,5,5,4,5,5,3,1,4,4,0,4,4,4,3,3,3,3,3,0,MA PD,2013
H0307,3,4,4,4,1,2,5,2,1,4,0,0,0,1,1,4,3,4,4,3,2,2,3,4,4,2,2,2,3,1,4,3,4,5,4,5,5,5,5,4,0,5,1,4,3,5,4,2,4,3,3,3,4,3,4,0,MA PD,2013
H0316,3,3,4,4,2,2,5,2,2,3,0,0,0,1,3,4,3,4,4,4,3,3,3,4,4,3,4,2,3,3,1,3,1,4,3,5,5,5,5,4,0,5,3,1,3,4,4,2,4,4,4,3,3,3,3,0,MA PD,2013
H0317,3,3,4,4,2,2,4,3,2,4,0,0,0,2,2,4,3,3,4,3,3,2,4,4,2,1,1,1,2,1,4,1,2,5,5,5,5,5,5,5,0,5,1,4,1,3,3,1,2,3,3,3,4,4,4,0,MA PD,2013
