CONTRACT_ID,Breast.Cancer.Screening,Colorectal.Cancer.Screening,Cardiovascular.Care...Cholesterol.Screening,Diabetes.Care...Cholesterol.Screening,Glaucoma.Testing,Annual.Flu.Vaccine,Improving.or.Maintaining.Physical.Health,Improving.or.Maintaining.Mental.Health,Monitoring.Physical.Activity,Adult.BMI.Assessment,Care.for.Older.Adults...Medication.Review,Care.for.Older.Adults...Functional.Status.Assessment,Care.for.Older.Adults...Pain.Screening,Osteoporosis.Management.in.Women.who.had.a.Fracture,Diabetes.Care...Eye.Exam,Diabetes.Care...Kidney.Disease.Monitoring,Diabetes.Care...Blood.Sugar.Controlled,Diabetes.Care...Cholesterol.Controlled,Controlling.Blood.Pressure,Rheumatoid.Arthritis.Management,Improving.Bladder.Control,Reducing.the.Risk.of.Falling,Plan.All.Cause.Readmissions,Getting.Needed.Care,Getting.Appointments.and.Care.Quickly,Customer.Service,Overall.Rating.of.Health.Care.Quality,Overall.Rating.of.Plan,Care.Coordination,Complaints.about.the.Health.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Plan.Makes.Timely.Decisions.about.Appeals,Reviewing.Appeals.Decisions,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Enrollment.Timeliness,Call.Center...Pharmacy.Hold.Time,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Appeals.Auto.Forward,Appeals.Upheld,Enrollment.Timeliness_D,Complaints.about.the.Drug.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Getting.Information.From.Drug.Plan,Rating.of.Drug.Plan,Getting.Needed.Prescription.Drugs,MPF.Price.Accuracy,High.Risk.Medication,Diabetes.Treatment,Part.D.Medication.Adherence.for.Oral.Diabetes.Medications,Part.D.Medication.Adherence.for.Hypertension..RAS.antagonists.,Part.D.Medication.Adherence.for.Cholesterol..Statins.,Special Needs Plan (SNP) Care Management,Contract_Type,Year
H0084,47,32,81,78,60,62,0,0,41,70,0,0,0,0,34,84,60,39,48,0,34,54,23,86,74,87,85,81,85,89,100,24,0,0,0,91,91,0.5,91,5.8,0,91,89,100,24,0,0,81,88,99,9.1,76.7,69.3,67,58,0,MA PD,2013
H0104,70,53,90,85,66,67,68,78,43,41,0,0,0,20,48,84,59,42,52,82,39,53,11,88,73,89,87,85,86,17,80,14,0,79,53,80,92,1.2,74,0.9,80,92,17,80,14,0,82,82,92,98,8.6,82.5,73.1,73,66.9,0,MA PD,2013
H0108,69,46,92,87,48,64,0,0,48,48,0,0,0,0,41,89,66,55,46,79,28,62,30,80,70,81,83,81,79,99,67,16,0,96,0,98,96,0.5,97,2.2,0,96,99,67,16,0,81,84,88,97,7.1,88.1,72.2,73.9,69.1,0,MA PD,2013
H0117,63,49,88,86,64,66,67,72,44,58,65,41,57,0,57,90,55,37,52,66,27,61,17,82,78,84,84,81,86,62,80,18,0,92,91,84,98,1,86,0,0,98,62,80,18,0,83,85,92,99,6.9,86.2,64.2,66.6,60.9,0,MA PD,2013
H0141,0,0,0,0,0,0,0,0,0,0,73,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,86,0,2.1,84,0,0,0,0,80,0,0,0,0,0,98,15,80.7,70.4,71,69.8,0,PART D,2013
H0150,77,78,90,86,63,65,67,74,39,75,89,90,87,25,59,91,73,45,60,78,26,63,13,90,73,89,88,89,86,26,80,80,0,92,91,96,92,2.2,93,0.6,0,92,26,80,8,0,85,88,93,99,14.3,82.5,67.5,66.6,60.6,0,MA PD,2013
H0151,57,53,87,82,57,61,65,75,41,25,57,34,36,14,54,85,60,42,53,75,32,58,13,84,74,86,87,86,85,24,0,90,0,72,85,94,97,0.7,91,0.6,0,97,24,0,9,0,0,85,92,99,14.6,81.1,66.9,66.3,61.7,0,MA PD,2013
H0154,74,66,87,86,65,70,67,76,47,73,87,84,87,18,64,89,80,53,71,80,33,63,13,88,73,88,85,87,86,15,80,70,0,74,83,97,96,1.7,93,4.6,60,96,15,80,7,0,0,86,93,99,14.1,82.7,69,69.2,63.2,0,MA PD,2013
H0248,69,53,89,88,73,70,0,0,53,58,0,0,0,23,68,86,61,45,57,68,39,57,13,83,74,85,86,86,85,52,67,15,0,94,0,98,92,0.4,97,2,0,92,52,67,15,0,81,84,90,98,4.7,88,72.4,72,67,0,MA PD,2013
H0251,50,43,84,82,44,55,71,71,39,58,61,19,21,16,46,89,70,41,52,61,26,61,13,84,74,87,85,90,84,37,12,11,0,38,58,92,0,0.9,95,2,70,0,37,12,11,0,0,89,93,99,20.5,83.6,67,66.3,63.5,0,MA PD,2013
H0302,80,66,90,92,71,71,63,75,48,91,0,0,0,38,63,91,84,39,66,80,37,59,13,84,76,86,85,87,85,9,80,50,0,97,96,81,94,0.6,78,5.7,0,94,9,80,5,0,84,84,91,98,4.9,84.3,79.5,80.4,75.3,0,MA PD,2013
H0303,67,61,89,88,63,70,64,76,49,63,59,36,39,20,59,90,83,56,63,76,33,54,13,84,73,85,84,84,83,23,0,80,0,87,84,95,96,0.7,90,0.9,93,96,23,0,8,0,0,84,91,99,7.5,85.3,73,74.6,71.1,0,MA PD,2013
H0307,64,61,88,87,50,64,66,73,42,73,0,0,0,19,46,88,76,53,69,68,31,52,13,85,76,85,84,83,85,77,67,14,0,98,89,98,95,0.5,97,0.7,0,95,77,67,14,0,83,83,92,97,7.3,85.2,76,76.2,72.6,0,MA PD,2013
H0316,67,53,86,87,55,65,68,77,47,60,0,0,0,12,57,89,76,54,64,83,37,54,12,86,76,86,85,83,85,32,0,11,0,86,86,94,96,0.7,91,0.5,0,96,32,0,11,0,87,82,93,99,6.2,84.7,72.5,74,69.4,0,MA PD,2013
H0317,68,56,87,86,61,65,64,79,48,66,0,0,0,30,53,87,77,50,63,75,41,52,11,85,73,84,83,79,83,85,67,36,0,97,95,98,95,0.5,97,0,0,95,85,67,36,0,81,81,89,97,7.5,83.4,78.1,76.7,72.8,0,MA PD,2013
H0318,66,60,90,90,61,71,72,80,54,77,0,0,0,0,72,89,84,55,74,0,39,55,12,86,75,86,85,84,86,12,40,12,0,86,0,94,86,2.8,89,0,0,86,12,40,12,0,79,83,91,99,3.8,87.8,77.2,79.4,70.3,0,MA PD,2013
H0319,33,15,0,91,79,0,0,0,32,86,96,99,99,70,89,95,84,62,0,0,0,0,70,0,0,0,0,0,0,46,0,30,0,75,100,97,0,0.7,87,0,0,0,46,0,3,0,0,0,0,93,13.7,69.4,72.4,79.2,76.4,0,MA PD,2013
H0320,61,35,84,87,41,55,62,75,36,56,0,0,0,15,44,83,60,43,67,71,31,46,13,83,73,90,81,83,81,13,80,80,0,89,0,56,98,1.3,59,7.8,0,98,13,80,8,0,84,82,92,0,7,80.2,68.7,68.9,67.9,0,MA PD,2013
H0321,59,53,83,84,59,60,67,78,45,68,63,39,55,24,65,91,61,42,60,74,32,72,12,83,74,83,83,86,82,23,12,60,0,97,66,92,0,0.7,95,0,0,0,23,12,6,0,0,85,90,99,12.3,85.9,68.3,67.8,63.6,0,MA PD,2013
H0332,85,69,94,95,83,76,69,77,59,99,0,0,0,39,82,97,90,64,73,0,37,59,14,88,80,92,90,91,90,24,100,40,0,89,84,89,95,0.1,90,5.1,0,95,24,100,4,0,91,88,92,99,3.5,90,73,72.5,67.4,0,MA PD,2013
H0351,70,67,89,90,58,71,68,79,50,81,83,65,71,23,67,91,84,59,75,76,36,59,14,87,77,90,86,87,86,17,100,90,0,87,89,78,98,1.3,88,0,0,98,17,100,9,0,83,86,92,0,8.8,84.6,73.3,74.5,69.4,0,MA PD,2013
H0354,76,67,89,89,72,72,66,75,46,97,95,93,90,24,73,92,90,61,76,82,33,54,15,86,78,89,87,88,87,8,60,50,0,96,95,91,95,3.1,81,0.3,0,95,8,60,5,0,90,86,91,96,6.6,83.4,75.3,76.6,74.9,0,MA PD,2013
H0401,52,40,81,78,61,65,68,76,40,51,0,0,0,0,50,85,60,38,57,69,32,53,11,83,74,84,85,84,86,40,0,12,0,91,100,94,98,0.7,91,7,0,98,40,0,12,0,87,84,92,99,9.8,85.6,72,73.2,72,0,MA PD,2013
